Assessment Name,URL,Remote Testing Support,Adaptive/IRT Support,Duration,Test Type
Instrumentation Engineering (New),/solutions/products/product-catalog/view/instrumentation-engineering-new/,Yes,No,Approximate Completion Time in minutes = 12,Knowledge & Skills
Interpersonal Communications,/solutions/products/product-catalog/view/interpersonal-communications/,Yes,Yes,Approximate Completion Time in minutes = 15 to 35,Knowledge & Skills
Interviewing and Hiring Concepts (U.S.),/solutions/products/product-catalog/view/interviewing-and-hiring-concepts-u-s/,Yes,Yes,Approximate Completion Time in minutes = 15 to 35,Knowledge & Skills
iOS Development (New),/solutions/products/product-catalog/view/ios-development-new/,Yes,No,Approximate Completion Time in minutes = 7,Knowledge & Skills
ITIL (IT Infrastructure Library) (New),/solutions/products/product-catalog/view/itil-it-infrastructure-library-new/,Yes,No,Approximate Completion Time in minutes = 8,Knowledge & Skills
Java 2 Platform Enterprise Edition 1.4 Fundamental,/solutions/products/product-catalog/view/java-2-platform-enterprise-edition-1-4-fundamental/,Yes,Yes,Approximate Completion Time in minutes = 30,Knowledge & Skills
Java 8 (New),/solutions/products/product-catalog/view/java-8-new/,Yes,No,Approximate Completion Time in minutes = 18,Knowledge & Skills
Java Design Patterns (New),/solutions/products/product-catalog/view/java-design-patterns-new/,Yes,No,Approximate Completion Time in minutes = 5,Knowledge & Skills
Java Frameworks (New),/solutions/products/product-catalog/view/java-frameworks-new/,Yes,No,Approximate Completion Time in minutes = 17,Knowledge & Skills
Java Platform Enterprise Edition 7 (Java EE 7),/solutions/products/product-catalog/view/java-platform-enterprise-edition-7-java-ee-7/,Yes,Yes,Approximate Completion Time in minutes = 30,Knowledge & Skills
Java Web Services (New),/solutions/products/product-catalog/view/java-web-services-new/,Yes,No,Approximate Completion Time in minutes = 8,Knowledge & Skills
JavaScript (New),/solutions/products/product-catalog/view/javascript-new/,Yes,No,Multi-choice test that measures knowledge of programming in the JavaScript language and its application in front-end development.,Knowledge & Skills
Jenkins (New),/solutions/products/product-catalog/view/jenkins-new/,Yes,No,Approximate Completion Time in minutes = 6,Knowledge & Skills
Job Control Language (New),/solutions/products/product-catalog/view/job-control-language-new/,Yes,No,Approximate Completion Time in minutes = 10,Knowledge & Skills
jQuery (New),/solutions/products/product-catalog/view/jquery-new/,Yes,No,Approximate Completion Time in minutes = 10,Knowledge & Skills
Kubernetes (New),/solutions/products/product-catalog/view/kubernetes-new/,Yes,No,Approximate Completion Time in minutes = 6,Knowledge & Skills
Linux Administration (New),/solutions/products/product-catalog/view/linux-administration-new/,Yes,No,Multi-choice test that measures knowledge of the Linux operating system and its application in system administration and network administration.,Knowledge & Skills
Linux Operating System,/solutions/products/product-catalog/view/linux-operating-system/,Yes,No,Approximate Completion Time in minutes = 15,Knowledge & Skills
Linux Programming (General),/solutions/products/product-catalog/view/linux-programming-general/,Yes,Yes,"The Linux Programming (General) test measures knowledge of programming in a Linux environment. Designed for experienced programmers, this test covers the following topics: AutoConf/AutoMake, Makefiles, C Programming, C++, Debugging Programs, Linux Programming Concepts, Platform Independence, Revision Control, RPC/CORBA, and X Programming.",Knowledge & Skills
Load Runner (New),/solutions/products/product-catalog/view/load-runner-new/,Yes,No,Approximate Completion Time in minutes = 6,Knowledge & Skills
Management Scenarios,/solutions/products/product-catalog/view/management-scenarios/,Yes,No,Approximate Completion Time in minutes = Untimed,Biodata & Situational Judgement
Managerial Scenarios Candidate Report,/solutions/products/product-catalog/view/managerial-scenarios-candidate-report/,Yes,No,N/A,Biodata & Situational Judgement
Managerial Scenarios Narrative Report,/solutions/products/product-catalog/view/managerial-scenarios-narrative-report/,Yes,No,N/A,Biodata & Situational Judgement
Managerial Scenarios Profile Report,/solutions/products/product-catalog/view/managerial-scenarios-profile-report/,Yes,No,N/A,Biodata & Situational Judgement
Manual Testing (New),/solutions/products/product-catalog/view/manual-testing-new/,Yes,No,Approximate Completion Time in minutes = 10,Knowledge & Skills
Manufac. & Indust. - Mechanical & Vigilance 8.0,/solutions/products/product-catalog/view/mechanical-and-vigilance-focus-8-0/,Yes,No,Approximate Completion Time in minutes = 49,"Ability & Aptitude, Personality & Behavior"
Manufac. & Indust. - Safety & Dependability 8.0,/solutions/products/product-catalog/view/safety-and-dependability-focus-8-0/,Yes,No,Approximate Completion Time in minutes = 16,Personality & Behavior
Manufacturing & Industrial - Essential Focus 8.0,/solutions/products/product-catalog/view/essential-focus-8-0/,Yes,No,Approximate Completion Time in minutes = 16,Personality & Behavior
Manufacturing & Industrial - Mechanical Focus 8.0,/solutions/products/product-catalog/view/mechanical-focus-8-0/,Yes,No,Approximate Completion Time in minutes = 31,"Ability & Aptitude, Personality & Behavior"
Manufacturing & Industrial - Vigilance Focus 8.0,/solutions/products/product-catalog/view/vigilance-focus-8-0/,Yes,No,Approximate Completion Time in minutes = 34,"Ability & Aptitude, Personality & Behavior"
Marketing (New),/solutions/products/product-catalog/view/marketing-new/,Yes,No,Approximate Completion Time in minutes = 9,Knowledge & Skills
Maven (New),/solutions/products/product-catalog/view/maven-new/,Yes,No,Approximate Completion Time in minutes = 7,Knowledge & Skills
Mechanical Engineering (New),/solutions/products/product-catalog/view/mechanical-engineering-new/,Yes,No,Approximate Completion Time in minutes = 7,Knowledge & Skills
Mechatronics Engineering (New),/solutions/products/product-catalog/view/mechatronics-engineering-new/,Yes,No,Approximate Completion Time in minutes = 19,Knowledge & Skills
Medical Terminology (New),/solutions/products/product-catalog/view/medical-terminology-new/,Yes,No,Approximate Completion Time in minutes = 3,Knowledge & Skills
Metallurgical Engineering (New),/solutions/products/product-catalog/view/metallurgical-engineering-new/,Yes,No,Approximate Completion Time in minutes = 10,Knowledge & Skills
MFS 360 Enterprise Leadership Report,/solutions/products/product-catalog/view/mfs-360-enterprise-leadership-report/,Yes,No,N/A,Development & 360
MFS 360 UCF Group Report,/solutions/products/product-catalog/view/mfs-360-ucf-group-report/,Yes,No,N/A,Development & 360
MFS 360 UCF Performance Potential Dev Tips Report,/solutions/products/product-catalog/view/mfs-360-ucf-performance-potential-dev-tips-report/,Yes,No,N/A,Development & 360
MFS 360 UCF Standard Report,/solutions/products/product-catalog/view/mfs-360-ucf-standard-report/,Yes,No,N/A,Development & 360
Micro Focus Unified Functional Testing (New),/solutions/products/product-catalog/view/micro-focus-unified-functional-testing-new/,Yes,No,Approximate Completion Time in minutes = 12,Knowledge & Skills
Microservices (New),/solutions/products/product-catalog/view/microservices-new/,Yes,No,Approximate Completion Time in minutes = 7,Knowledge & Skills
Microsoft Dynamics Development (New),/solutions/products/product-catalog/view/microsoft-dynamics-development-new/,Yes,No,"Multi-choice test that measures the knowledge of Microsoft Dynamics installation, sales process, service management, administration, configuration, entity model, workflows, dialogs, solutions, CRM web services and plugins.",Knowledge & Skills
Microsoft Excel 365 - Essentials (New),/solutions/products/product-catalog/view/microsoft-excel-365-essentials-new/,Yes,No,Approximate Completion Time in minutes = 30,"Knowledge & Skills, Simulations"
Microsoft Excel 365 (New),/solutions/products/product-catalog/view/microsoft-excel-365-new/,Yes,No,Approximate Completion Time in minutes = 35,"Knowledge & Skills, Simulations"
Microsoft Outlook 2013 (adaptive),/solutions/products/product-catalog/view/microsoft-outlook-2013-adaptive/,Yes,Yes,Approximate Completion Time in minutes = 25,Knowledge & Skills
Microsoft PowerPoint 365 - Essentials (New),/solutions/products/product-catalog/view/microsoft-powerpoint-365-essentials-new/,Yes,No,Approximate Completion Time in minutes = 25,"Knowledge & Skills, Simulations"
Microsoft SQL Server 2014 Programming,/solutions/products/product-catalog/view/microsoft-sql-server-2014-programming/,Yes,Yes,"The Microsoft SQL Server 2014 Programming test measures knowledge of Microsoft Structure Query Language (SQL) Server 2014 Programming. Designed for experienced database programmers, this test covers the following topics: Beyond Relational, Control Flow, Data Types and NULL, Database Design, Developer Tools, Modifying Data, Running Queries, and Writing Queries.",Knowledge & Skills
Microsoft Windows Server 2012 Administration,/solutions/products/product-catalog/view/microsoft-windows-server-2012-administration/,Yes,Yes,"The Microsoft Windows Server 2012 Administration test measures knowledge of Windows Server Administration. Designed for experienced Network Administrators, this test includes the following topics: Active Directory, Administrative Tasks, Computer Properties, Configuration and Management, Design and Installation, Local Security Policy, Networking, Security, and Server Management.",Knowledge & Skills
Microsoft Word 365 - Essentials (New),/solutions/products/product-catalog/view/microsoft-word-365-essentials-new/,Yes,No,Approximate Completion Time in minutes = 25,"Knowledge & Skills, Simulations"
Microsoft Word 365 (New),/solutions/products/product-catalog/view/microsoft-word-365-new/,Yes,No,Approximate Completion Time in minutes = 35,"Simulations, Knowledge & Skills"
Mineral Engineering (New),/solutions/products/product-catalog/view/mineral-engineering-new/,Yes,No,"Multi-choice test that measures the knowledge of comminution and classification, physical separation process, particle technology, metallurgical thermodynamics, mineralogy, petrology and stratigraphy.",Knowledge & Skills
Mining Engineering (New),/solutions/products/product-catalog/view/mining-engineering-new/,Yes,No,"Multi-choice test that measures the knowledge of mining methods, mineral processing, mining machinery, mineralogy, petrology and stratigraphy.",Knowledge & Skills
Mobility (New),/solutions/products/product-catalog/view/mobility-new/,Yes,No,Approximate Completion Time in minutes = 9,Knowledge & Skills
Molecular Biology (New),/solutions/products/product-catalog/view/molecular-biology-new/,Yes,No,Approximate Completion Time in minutes = 6,Knowledge & Skills
MongoDB (New),/solutions/products/product-catalog/view/mongodb-new/,Yes,No,Approximate Completion Time in minutes = 7,Knowledge & Skills
Motivation Questionnaire MQM5,/solutions/products/product-catalog/view/motivation-questionnaire-mqm5/,Yes,No,"Approximate Completion Time in minutes = Untimed, approx. 25",Personality & Behavior
MQ Candidate Motivation Report,/solutions/products/product-catalog/view/mq-candidate-motivation-report/,Yes,No,N/A,Personality & Behavior
MQ Employee Motivation Report,/solutions/products/product-catalog/view/mq-employee-motivation-report/,Yes,No,N/A,Personality & Behavior
MQ Motivation Report Pack,/solutions/products/product-catalog/view/mq-motivation-report-pack/,Yes,No,N/A,Personality & Behavior
MQ Profile,/solutions/products/product-catalog/view/mq-profile/,Yes,No,N/A,Personality & Behavior
MS Access (New),/solutions/products/product-catalog/view/ms-access-new/,Yes,No,Multi-choice test that measures the knowledge and basic understanding of MS Access programming.,Knowledge & Skills
MS Excel (New),/solutions/products/product-catalog/view/ms-excel-new/,Yes,No,Approximate Completion Time in minutes = 6,Knowledge & Skills
MS Office Basic Computer Literacy (New),/solutions/products/product-catalog/view/ms-office-basic-computer-literacy-new/,Yes,No,Approximate Completion Time in minutes = 7,Knowledge & Skills
MS Office Basic Computer Literacy (Sim) (New),/solutions/products/product-catalog/view/ms-office-basic-computer-literacy-sim-new/,Yes,No,Approximate Completion Time in minutes = 5,Simulations
MS PowerPoint (New),/solutions/products/product-catalog/view/ms-powerpoint-new/,Yes,No,Approximate Completion Time in minutes = 4,Knowledge & Skills
MS Word (New),/solutions/products/product-catalog/view/ms-word-new/,Yes,No,Approximate Completion Time in minutes = 4,Knowledge & Skills
MuleSoft Development (New),/solutions/products/product-catalog/view/mulesoft-development-new/,Yes,No,Approximate Completion Time in minutes = 17,Knowledge & Skills
Multitasking Ability,/solutions/products/product-catalog/view/multitasking-ability/,Yes,No,Approximate Completion Time in minutes = 20,"Ability & Aptitude, Knowledge & Skills, Simulations"
Networking and Implementation (New),/solutions/products/product-catalog/view/networking-and-implementation-new/,Yes,No,Approximate Completion Time in minutes = 7,Knowledge & Skills
Node.js (New),/solutions/products/product-catalog/view/node-js-new/,Yes,No,Approximate Completion Time in minutes = 9,Knowledge & Skills
Nursing (New),/solutions/products/product-catalog/view/nursing-new/,Yes,No,Approximate Completion Time in minutes = 11,Knowledge & Skills
Occupational Personality Questionnaire OPQ32r,/solutions/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,Yes,No,"Approximate Completion Time in minutes = Untimed, approx. 25",Personality & Behavior
Operations Management (New),/solutions/products/product-catalog/view/operations-management-new/,Yes,No,Approximate Completion Time in minutes = 7,Knowledge & Skills
OPQ Candidate Plus Report,/solutions/products/product-catalog/view/opq-candidate-plus-report/,Yes,No,N/A,Personality & Behavior
OPQ Candidate Report 2.0,/solutions/products/product-catalog/view/opq-candidate-report-2-0/,Yes,No,N/A,Personality & Behavior
OPQ Emotional Intelligence Report,/solutions/products/product-catalog/view/opq-emotional-intelligence-report/,Yes,No,N/A,Personality & Behavior
OPQ Leadership Report,/solutions/products/product-catalog/view/opq-leadership-report/,Yes,No,N/A,Personality & Behavior
OPQ Manager Plus Report,/solutions/products/product-catalog/view/opq-manager-plus-report/,Yes,No,N/A,Personality & Behavior
OPQ Manager Plus Report 2.0,/solutions/products/product-catalog/view/opq-manager-plus-report-2-0/,Yes,No,N/A,Personality & Behavior
OPQ Maximising your Learning Report,/solutions/products/product-catalog/view/opq-maximising-your-learning-report/,Yes,No,N/A,Personality & Behavior
OPQ MQ Sales Report,/solutions/products/product-catalog/view/opq-mq-sales-report/,Yes,No,N/A,Personality & Behavior
OPQ Premium Plus Report,/solutions/products/product-catalog/view/opq-premium-plus-report/,Yes,No,N/A,Personality & Behavior
OPQ Premium Plus Report 2.0,/solutions/products/product-catalog/view/opq-premium-plus-report-2-0/,Yes,No,N/A,Personality & Behavior
OPQ Profile Report,/solutions/products/product-catalog/view/opq-profile-report/,Yes,No,N/A,Personality & Behavior
OPQ Team Impact Group Development Report,/solutions/products/product-catalog/view/opq-team-impact-group-development-report/,Yes,No,N/A,Personality & Behavior
OPQ Team Impact Individual Development Report,/solutions/products/product-catalog/view/opq-team-impact-individual-development-report/,Yes,No,N/A,Personality & Behavior
OPQ Team Impact Selection Report,/solutions/products/product-catalog/view/opq-team-impact-selection-report/,Yes,No,N/A,Personality & Behavior
OPQ Team Types & Leadership Styles Profile,/solutions/products/product-catalog/view/opq-team-types-and-leadership-styles-profile/,Yes,No,N/A,Personality & Behavior
OPQ Team Types and Leadership Styles Report,/solutions/products/product-catalog/view/opq-team-types-and-leadership-styles-report/,Yes,No,N/A,Personality & Behavior
OPQ UCF Development Action Planner Report 1.0,/solutions/products/product-catalog/view/opq-ucf-development-action-planner-report/,Yes,No,N/A,Personality & Behavior
OPQ UCF Development Action Planner Report 2.0,/solutions/products/product-catalog/view/opq-ucf-development-action-planner-report-2-0/,Yes,No,N/A,Personality & Behavior
OPQ Universal Competency Report 1.0,/solutions/products/product-catalog/view/opq-universal-competency-report/,Yes,No,N/A,Personality & Behavior
OPQ Universal Competency Report 2.0,/solutions/products/product-catalog/view/opq-universal-competency-report-2-0/,Yes,No,N/A,Personality & Behavior
OPQ User and Managers Report,/solutions/products/product-catalog/view/opq-user-and-managers-report/,Yes,No,N/A,Personality & Behavior
OPQ User Report,/solutions/products/product-catalog/view/opq-user-report/,Yes,No,N/A,"Personality & Behavior, Simulations"
Oracle DBA (Advanced Level) (New),/solutions/products/product-catalog/view/oracle-dba-advanced-level-new/,Yes,No,"Multi-choice test that measures the knowledge of Oracle DB architecture, backup and recovery, MySQL administration and advanced topics such as network configuration and data warehouse management.",Knowledge & Skills
Oracle DBA (Entry Level) (New),/solutions/products/product-catalog/view/oracle-dba-entry-level-new/,Yes,No,"Multi-choice test that measures the knowledge of Oracle database architecture, data management, backup and recovery, and MySQL administration.",Knowledge & Skills
Oracle PL/SQL (New),/solutions/products/product-catalog/view/oracle-plsql-new/,Yes,No,Approximate Completion Time in minutes = 11,Knowledge & Skills
Oracle WebLogic Server (New),/solutions/products/product-catalog/view/oracle-weblogic-server-new/,Yes,No,"Multi-choice test that measures the knowledge of the concepts of WebLogic such as server installation, administration, node, logs manager, security and deployment.",Knowledge & Skills
Organic Chemistry (New),/solutions/products/product-catalog/view/organic-chemistry-new/,Yes,No,Approximate Completion Time in minutes = 10,Knowledge & Skills
Paint Technology (New),/solutions/products/product-catalog/view/paint-technology-new/,Yes,No,Approximate Completion Time in minutes = 7,Knowledge & Skills
Pediatrics (New),/solutions/products/product-catalog/view/pediatrics-new/,Yes,No,"Multi-choice test that measures the basic knowledge of pediatric diseases, their symptoms and the medicines administered to cure or prevent them.",Knowledge & Skills
Pega Development (New),/solutions/products/product-catalog/view/pega-development-new/,Yes,No,Approximate Completion Time in minutes = 17,Knowledge & Skills
Perl (New),/solutions/products/product-catalog/view/perl-new/,Yes,No,"Multi-choice test that measures the knowledge of Perl scripting used for text manipulation, web development, system administration, etc.",Knowledge & Skills
Petrochemical Engineering (New),/solutions/products/product-catalog/view/petrochemical-engineering-new/,Yes,No,Approximate Completion Time in minutes = 7,Knowledge & Skills
Petroleum Engineering (New),/solutions/products/product-catalog/view/petroleum-engineering-new/,Yes,No,Approximate Completion Time in minutes = 10,Knowledge & Skills
Pharmaceutical Analysis (New),/solutions/products/product-catalog/view/pharmaceutical-analysis-new/,Yes,No,Approximate Completion Time in minutes = 12,Knowledge & Skills
Pharmaceutical Chemistry (New),/solutions/products/product-catalog/view/pharmaceutical-chemistry-new/,Yes,No,Approximate Completion Time in minutes = 17,Knowledge & Skills
Pharmaceutical Science (New),/solutions/products/product-catalog/view/pharmaceutical-science-new/,Yes,No,Approximate Completion Time in minutes = 7,Knowledge & Skills
Pharmaceutics (New),/solutions/products/product-catalog/view/pharmaceutics-new/,Yes,No,Approximate Completion Time in minutes = 12,Knowledge & Skills
Pharmacology (New),/solutions/products/product-catalog/view/pharmacology-new/,Yes,No,Approximate Completion Time in minutes = 12,Knowledge & Skills
PHP (New),/solutions/products/product-catalog/view/php-new/,Yes,No,"Multi-choice test that measures the knowledge of OOPs & programming constructs, web & database handling and advanced PHP.",Knowledge & Skills
PJM Development Report,/solutions/products/product-catalog/view/pjm-development-report/,Yes,No,N/A,"Competencies, Ability & Aptitude, Personality & Behavior"
PJM Selection Report,/solutions/products/product-catalog/view/pjm-selection-report/,Yes,No,N/A,"Ability & Aptitude, Competencies, Personality & Behavior"
Polymer Engineering (New),/solutions/products/product-catalog/view/polymer-engineering-new/,Yes,No,Approximate Completion Time in minutes = 8,Knowledge & Skills
Power Electronics and Drives (New),/solutions/products/product-catalog/view/power-electronics-and-drives-new/,Yes,No,Approximate Completion Time in minutes = 15,Knowledge & Skills
Power System Engineering (New),/solutions/products/product-catalog/view/power-system-engineering-new/,Yes,No,Approximate Completion Time in minutes = 12,Knowledge & Skills
Prism (New),/solutions/products/product-catalog/view/prism-new/,Yes,No,Approximate Completion Time in minutes = 4,Knowledge & Skills
Production and Industrial Engineering (New),/solutions/products/product-catalog/view/production-and-industrial-engineering-new/,Yes,No,Approximate Completion Time in minutes = 13,Knowledge & Skills
Account Manager Solution,/solutions/products/product-catalog/view/account-manager-solution/,Yes,Yes,Approximate Completion Time in minutes = 49,"Competencies, Personality & Behavior, Ability & Aptitude, Biodata & Situational Judgement"
Administrative Professional - Short Form,/solutions/products/product-catalog/view/administrative-professional-short-form/,Yes,Yes,"The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office management functions and customer service. Sample tasks for this job include, but are not limited to: arranging conference calls; drafting correspondence; scheduling meetings; greeting visitors; coordinating office activities. Potential job titles that use this solution are: Administrative Assistant, Secretary, Office Manager, Administrative Aide, and Administrative Associate.","Ability & Aptitude, Knowledge & Skills, Personality & Behavior"
Agency Manager Solution,/solutions/products/product-catalog/view/agency-manager-solution/,Yes,Yes,Approximate Completion Time in minutes = 51,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations"
Apprentice + 8.0 Job Focused Assessment,/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,Yes,No,Approximate Completion Time in minutes = 30,"Biodata & Situational Judgement, Personality & Behavior"
Apprentice 8.0 Job Focused Assessment,/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,Yes,No,Approximate Completion Time in minutes = 20,"Biodata & Situational Judgement, Personality & Behavior"
Bank Administrative Assistant - Short Form,/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,Yes,No,"The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for these jobs include, but are not limited to: answering telephones, managing files and records, sorting mail, greeting customers, and collaborating with co-workers on projects. Potential job titles that use this solution are: Receptionist and Administrative Assistant. There are multiple configurations of this solution available.","Ability & Aptitude, Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior"
Bank Collections Agent - Short Form,/solutions/products/product-catalog/view/bank-collections-agent-short-form/,Yes,No,Approximate Completion Time in minutes = 45,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Bank Operations Supervisor - Short Form,/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,Yes,Yes,"The Bank Operations Supervisor solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to:  planning and preparing work schedules, assigning employees to specific duties; coaching  employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills ; training subordinates; prioritizing multiple tasks  and priorities; and making  day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Team Leader, First Line Supervisor, Processing Supervisor, Call Center Supervisor, and Customer Service Supervisor. There are multiple configurations and versions of this solution available.","Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations"
Bilingual Spanish Reservation Agent Solution,/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,Yes,Yes,Approximate Completion Time in minutes = 43,"Biodata & Situational Judgement, Personality & Behavior, Simulations, Ability & Aptitude"
"Bookkeeping, Accounting, Auditing Clerk Short Form",/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,Yes,Yes,Approximate Completion Time in minutes = 49,"Personality & Behavior, Simulations, Knowledge & Skills, Biodata & Situational Judgement, Ability & Aptitude"
Branch Manager - Short Form,/solutions/products/product-catalog/view/branch-manager-short-form/,Yes,No,Approximate Completion Time in minutes = 50,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Cashier Solution,/solutions/products/product-catalog/view/cashier-solution/,Yes,Yes,Approximate Completion Time in minutes = 28,"Biodata & Situational Judgement, Ability & Aptitude, Personality & Behavior"
Global Skills Development Report,/solutions/products/product-catalog/view/global-skills-development-report/,Yes,No,N/A,"Ability & Aptitude, Assessment Exercises, Biodata & Situational Judgement, Competencies, Development & 360, Personality & Behavior"
.NET Framework 4.5,/solutions/products/product-catalog/view/net-framework-4-5/,Yes,Yes,Approximate Completion Time in minutes = 30,Knowledge & Skills
.NET MVC (New),/solutions/products/product-catalog/view/net-mvc-new/,Yes,No,Approximate Completion Time in minutes = 17,Knowledge & Skills
.NET MVVM (New),/solutions/products/product-catalog/view/net-mvvm-new/,Yes,No,Approximate Completion Time in minutes = 5,Knowledge & Skills
.NET WCF (New),/solutions/products/product-catalog/view/net-wcf-new/,Yes,No,"Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.",Knowledge & Skills
.NET WPF (New),/solutions/products/product-catalog/view/net-wpf-new/,Yes,No,Approximate Completion Time in minutes = 9,Knowledge & Skills
.NET XAML (New),/solutions/products/product-catalog/view/net-xaml-new/,Yes,No,Approximate Completion Time in minutes = 5,Knowledge & Skills
Accounts Payable (New),/solutions/products/product-catalog/view/accounts-payable-new/,Yes,No,Approximate Completion Time in minutes = 9,Knowledge & Skills
Accounts Payable Simulation (New),/solutions/products/product-catalog/view/accounts-payable-simulation-new/,Yes,No,Approximate Completion Time in minutes = 8,Simulations
Accounts Receivable (New),/solutions/products/product-catalog/view/accounts-receivable-new/,Yes,No,Approximate Completion Time in minutes = 13,Knowledge & Skills
Accounts Receivable Simulation (New),/solutions/products/product-catalog/view/accounts-receivable-simulation-new/,Yes,No,Approximate Completion Time in minutes = 8,Simulations
ADO.NET (New),/solutions/products/product-catalog/view/ado-net-new/,Yes,No,Approximate Completion Time in minutes = 10,Knowledge & Skills
RemoteWorkQ Participant Report,/solutions/products/product-catalog/view/remoteworkq-participant-report/,Yes,No,"Using the Apta™ Architecture to focus on the relevant competency behaviors in the Universal Competency Framework, SHL developed the RemoteWorkQ to measure self-reported behavioral tendencies in competency areas that are important to performing effectively in remote work environments across three competency areas: 
o	Work Relationships
o	Work Habits
o	Self-Development & Well-Being
The RemoteWorkQ is intended for use across job families and levels for which working in a remote environment is important for the role. This report is designed to help you be more successful in a remote working environment by providing:
o	Insights into your identified strengths and potential risks for working remotely
o	Individualized coaching tips on how you can use your identified strengths to overcome risks",Competencies
RESTful Web Services (New),/solutions/products/product-catalog/view/restful-web-services-new/,Yes,No,Approximate Completion Time in minutes = 12,Knowledge & Skills
Retail Sales and Service Simulation,/solutions/products/product-catalog/view/retail-sales-and-service-simulation/,Yes,No,Approximate Completion Time in minutes = 30,"Biodata & Situational Judgement, Knowledge & Skills, Simulations, Ability & Aptitude"
Reviewing Forms - US (R1),/solutions/products/product-catalog/view/reviewing-forms-us-r1/,Yes,No,Approximate Completion Time in minutes = 5,Knowledge & Skills
Ruby (New),/solutions/products/product-catalog/view/ruby-new/,Yes,No,"Multi-choice test that measures the knowledge of Ruby strings, collection classes, regular expressions, methods, object oriented programming, exception handling, database connectivity, threads, scripting, network programming and web applications.",Knowledge & Skills
Ruby on Rails (New),/solutions/products/product-catalog/view/ruby-on-rails-new/,Yes,No,"Multi-choice test that measures the knowledge of Ruby Programming, Rails installation, Rails MVC and Rails programming model.",Knowledge & Skills
Sales & Service Phone Simulation,/solutions/products/product-catalog/view/sales-and-service-phone-simulation/,Yes,No,Approximate Completion Time in minutes = 20,"Simulations, Biodata & Situational Judgement"
Sales & Service Phone Solution,/solutions/products/product-catalog/view/sales-and-service-phone-solution/,Yes,No,Approximate Completion Time in minutes = 35,"Biodata & Situational Judgement, Personality & Behavior, Simulations"
Sales Interview Guide,/solutions/products/product-catalog/view/sales-interview-guide/,Yes,No,Approximate Completion Time in minutes = Untimed,"Personality & Behavior, Personality & Behavior"
Sales Profiler Cards,/solutions/products/product-catalog/view/sales-profiler-cards/,Yes,No,Approximate Completion Time in minutes = Untimed,Personality & Behavior
Sales Transformation 1.0 - Individual Contributor,/solutions/products/product-catalog/view/sales-transformation-report-individual-contributor/,Yes,No,N/A,Personality & Behavior
Sales Transformation 2.0 - Individual Contributor,/solutions/products/product-catalog/view/salestransformationreport2-0-individualcontributor/,Yes,No,N/A,Personality & Behavior
Sales Transformation Report 1.0 - Sales Manager,/solutions/products/product-catalog/view/sales-transformation-report-sales-manager/,Yes,No,N/A,Personality & Behavior
Sales Transformation Report 2.0 - Sales Manager,/solutions/products/product-catalog/view/sales-transformation-report-2-0-sales-manager/,Yes,No,N/A,Personality & Behavior
Salesforce Development (New),/solutions/products/product-catalog/view/salesforce-development-new/,Yes,No,Approximate Completion Time in minutes = 15,Knowledge & Skills
SAP ABAP (Advanced Level) (New),/solutions/products/product-catalog/view/sap-abap-advanced-level-new/,Yes,No,"Multi-choice test that measures the knowledge of SAP ABAP dictionary, dialog programming, reports, enhancements, workflows, optimizations and advanced ABAP concepts like Netweaver applications and Adobe forms.",Knowledge & Skills
SAP ABAP (Intermediate Level) (New),/solutions/products/product-catalog/view/sap-abap-intermediate-level-new/,Yes,No,"Multi-choice test that measures the knowledge of SAP ABAP dictionary, elements, operations, architecture, ABAP data types, ABAP reporting, batch data communication, dialog programming, EDI, ALE, IDOC interface, BADI, BAPI and function module.",Knowledge & Skills
SAP Basis (New),/solutions/products/product-catalog/view/sap-basis-new/,Yes,No,"Multi-choice test that measures the knowledge of SAP architecture, database administration, background processing, user administration, client administration, system administration, monitoring and transport management.",Knowledge & Skills
SAP Business Objects WebI (New),/solutions/products/product-catalog/view/sap-business-objects-webi-new/,Yes,No,Approximate Completion Time in minutes = 10,Knowledge & Skills
SAP BW (Business Warehouse) (New),/solutions/products/product-catalog/view/sap-bw-business-warehouse-new/,Yes,No,Approximate Completion Time in minutes = 9,Knowledge & Skills
